,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
290,-27.357029999999998,-70.2235,299.06,0.4,0.37,2022-05-02,542,1,nominal,2.0NRT,282.25,1.04,N
291,-32.75969,-71.47429,318.06,0.39,0.36,2022-05-02,544,1,nominal,2.0NRT,273.39,1.0,N
292,-34.10443,-70.45761999999999,326.49,0.38,0.36,2022-05-02,544,1,nominal,2.0NRT,278.78,5.51,N
293,-34.10508,-70.45347,327.18,0.38,0.36,2022-05-02,544,1,nominal,2.0NRT,282.4,5.51,N
294,-34.88582,-71.13103000000001,296.14,0.38,0.36,2022-05-02,544,1,nominal,2.0NRT,275.55,0.48,N
295,-35.03183,-71.28654,297.61,0.38,0.36,2022-05-02,544,1,nominal,2.0NRT,276.58,0.49,N
296,-35.14602,-72.18401,307.24,0.39,0.36,2022-05-02,544,1,nominal,2.0NRT,280.76,1.07,N
298,-36.26497,-72.64886,315.99,0.39,0.36,2022-05-02,544,1,nominal,2.0NRT,279.67,1.49,N
299,-36.86725,-71.37881999999999,309.8,0.38,0.36,2022-05-02,544,1,nominal,2.0NRT,266.85,0.98,N
300,-36.743359999999996,-73.12796,297.45,0.4,0.37,2022-05-02,544,1,nominal,2.0NRT,280.98,0.44,N
301,-36.74672,-73.12886,312.42,0.4,0.37,2022-05-02,544,1,nominal,2.0NRT,281.37,1.15,N
303,-37.2506,-72.9206,300.04,0.39,0.36,2022-05-02,546,1,nominal,2.0NRT,276.55,0.23,N
304,-37.25394,-72.92149,317.2,0.39,0.36,2022-05-02,546,1,nominal,2.0NRT,276.89,1.76,N
323,-39.417840000000005,-71.94112,318.02,0.38,0.36,2022-05-02,546,1,nominal,2.0NRT,263.96,1.42,N
2280,-35.78485,-71.72158,325.43,0.49,0.48,2022-05-02,1806,1,nominal,2.0NRT,292.08,1.97,D
2281,-35.778490000000005,-71.70035,346.56,0.49,0.48,2022-05-02,1806,1,nominal,2.0NRT,293.7,9.11,D
2282,-35.72591,-71.4907,328.14,0.47,0.48,2022-05-02,1806,1,nominal,2.0NRT,290.62,2.04,D
2283,-35.69673,-72.04863,331.67,0.51,0.49,2022-05-02,1806,1,nominal,2.0NRT,292.93,3.3,D
2285,-35.59511,-72.04563,335.91,0.51,0.49,2022-05-02,1806,1,nominal,2.0NRT,295.4,4.08,D
2286,-35.545609999999996,-71.51659000000001,345.25,0.47,0.48,2022-05-02,1806,1,nominal,2.0NRT,292.96,5.92,D
2288,-35.279759999999996,-71.7637,350.3,0.48,0.48,2022-05-02,1806,1,nominal,2.0NRT,294.74,9.85,D
