,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
9657,-32.80178,-70.95123000000001,327.9,0.41,0.37,2022-01-04,554,1,nominal,2.0NRT,290.22,4.23,N
9659,-32.75922,-71.47929,321.21,0.4,0.37,2022-01-04,554,1,nominal,2.0NRT,287.46,3.79,N
9660,-32.75983,-71.47499,324.45,0.4,0.37,2022-01-04,554,1,nominal,2.0NRT,286.1,3.15,N
9661,-32.78635,-71.48479,301.9,0.4,0.37,2022-01-04,554,1,nominal,2.0NRT,286.11,0.7,N
9662,-33.29292,-70.72836,318.48,0.42,0.38,2022-01-04,557,1,nominal,2.0NRT,290.37,1.25,N
9663,-33.2964,-70.72903000000001,328.66,0.42,0.38,2022-01-04,557,1,nominal,2.0NRT,291.11,2.98,N
9664,-33.30807,-70.7219,316.73,0.42,0.38,2022-01-04,557,1,nominal,2.0NRT,288.0,1.07,N
9665,-33.62084,-70.61995,308.06,0.43,0.38,2022-01-04,557,1,nominal,2.0NRT,287.1,0.91,N
9666,-34.10342,-70.45421999999999,297.46,0.44,0.38,2022-01-04,557,1,nominal,2.0NRT,285.25,5.42,N
9667,-34.106359999999995,-70.45939,323.01,0.44,0.38,2022-01-04,557,1,nominal,2.0NRT,287.62,5.42,N
9668,-34.10698,-70.45467,324.3,0.44,0.38,2022-01-04,557,1,nominal,2.0NRT,291.45,5.42,N
10145,-20.21915,-70.02431,316.46,0.38,0.36,2022-01-04,552,1,nominal,2.0NRT,282.63,1.5,N
10146,-20.23356,-70.08335,313.87,0.38,0.36,2022-01-04,552,1,nominal,2.0NRT,285.45,1.33,N
10164,-23.0349,-70.34241,302.34,0.38,0.36,2022-01-04,552,1,nominal,2.0NRT,288.97,0.45,N
10165,-23.78489,-70.31947,301.59,0.39,0.36,2022-01-04,552,1,nominal,2.0NRT,285.99,1.01,N
10172,-27.41475,-70.25928,314.59,0.4,0.37,2022-01-04,554,1,nominal,2.0NRT,289.7,1.63,N
10173,-27.418129999999998,-70.2599,298.99,0.4,0.37,2022-01-04,554,1,nominal,2.0NRT,288.76,0.89,N
