,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,Fuente,brightness,bright_t31,Coordenadas,Locacion,road,city,county,state,country,country_code,industrial,town,isolated_dwelling,hamlet,postcode,building,neighbourhood,region,suburb,amenity,man_made,village,office,historic,aeroway,tourism,state_district,highway,Comuna,REGION,PROVINCIA,COMUNA,ComunaUpper,raw,level_0,index,NOM_REGION,NOM_PROVINCIA
12831,-23.3614,-67.73210999999999,326.49,0.4,0.37,2022-03-02,533,N,nominal,2.0NRT,280.89,2.61,N,SUOMI,,,"-23.3614,-67.73210999999999","San Pedro de Atacama, Provincia de El Loa, Región de Antofagasta, Chile",,,Provincia de El Loa,Región de Antofagasta,Chile,cl,,San Pedro de Atacama,,,,,,,,,,,,,,,,,San Pedro de Atacama,2.0,22.0,2203.0,SAN PEDRO DE ATACAMA,"{'place_id': 282565609, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1574063, 'lat': '-22.910832', 'lon': '-68.2001376', 'display_name': 'San Pedro de Atacama, Provincia de El Loa, Región de Antofagasta, Chile', 'address': {'town': 'San Pedro de Atacama', 'county': 'Provincia de El Loa', 'state': 'Región de Antofagasta', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-24.3281629', '-22.3815265', '-68.7069553', '-66.9905186']}",8.0,27378.0,REGIÓN DE ANTOFAGASTA,EL LOA
12832,-23.36479,-67.73264,317.04,0.4,0.37,2022-03-02,533,N,nominal,2.0NRT,274.36,2.61,N,SUOMI,,,"-23.36479,-67.73264","San Pedro de Atacama, Provincia de El Loa, Región de Antofagasta, Chile",,,Provincia de El Loa,Región de Antofagasta,Chile,cl,,San Pedro de Atacama,,,,,,,,,,,,,,,,,San Pedro de Atacama,2.0,22.0,2203.0,SAN PEDRO DE ATACAMA,"{'place_id': 282565609, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1574063, 'lat': '-22.910832', 'lon': '-68.2001376', 'display_name': 'San Pedro de Atacama, Provincia de El Loa, Región de Antofagasta, Chile', 'address': {'town': 'San Pedro de Atacama', 'county': 'Provincia de El Loa', 'state': 'Región de Antofagasta', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-24.3281629', '-22.3815265', '-68.7069553', '-66.9905186']}",9.0,27379.0,REGIÓN DE ANTOFAGASTA,EL LOA
12833,-23.77921,-70.31689,300.05,0.5,0.41,2022-03-02,533,N,nominal,2.0NRT,288.32,1.44,N,SUOMI,,,"-23.77921,-70.31689","Ruta 5 Norte, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, Chile",Ruta 5 Norte,Antofagasta,Provincia de Antofagasta,Región de Antofagasta,Chile,cl,,,,,,,,,,,,,,,,,,,Antofagasta,2.0,21.0,2101.0,ANTOFAGASTA,"{'place_id': 282607959, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1561898, 'lat': '-23.6463741', 'lon': '-70.3980033', 'display_name': 'Antofagasta, Provincia de Antofagasta, Región de Antofagasta, Chile', 'address': {'city': 'Antofagasta', 'county': 'Provincia de Antofagasta', 'state': 'Región de Antofagasta', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-25.4019573', '-23.0584154', '-70.6286037', '-68.0670324']}",10.0,27380.0,REGIÓN DE ANTOFAGASTA,ANTOFAGASTA
12834,-23.82145,-70.31743,328.32,0.49,0.41,2022-03-02,533,N,nominal,2.0NRT,289.8,4.17,N,SUOMI,,,"-23.82145,-70.31743","Acceso Fundición Altonorte, Fundición Altonorte, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, Chile",Acceso Fundición Altonorte,Antofagasta,Provincia de Antofagasta,Región de Antofagasta,Chile,cl,Fundición Altonorte,,,,,,,,,,,,,,,,,,Antofagasta,2.0,21.0,2101.0,ANTOFAGASTA,"{'place_id': 282607959, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1561898, 'lat': '-23.6463741', 'lon': '-70.3980033', 'display_name': 'Antofagasta, Provincia de Antofagasta, Región de Antofagasta, Chile', 'address': {'city': 'Antofagasta', 'county': 'Provincia de Antofagasta', 'state': 'Región de Antofagasta', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-25.4019573', '-23.0584154', '-70.6286037', '-68.0670324']}",11.0,27381.0,REGIÓN DE ANTOFAGASTA,ANTOFAGASTA
12835,-23.82519,-70.31818,330.61,0.49,0.41,2022-03-02,533,N,nominal,2.0NRT,289.82,6.99,N,SUOMI,,,"-23.82519,-70.31818","Ruta 5 Norte, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, Chile",Ruta 5 Norte,Antofagasta,Provincia de Antofagasta,Región de Antofagasta,Chile,cl,,,,,,,,,,,,,,,,,,,Antofagasta,2.0,21.0,2101.0,ANTOFAGASTA,"{'place_id': 282607959, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1561898, 'lat': '-23.6463741', 'lon': '-70.3980033', 'display_name': 'Antofagasta, Provincia de Antofagasta, Región de Antofagasta, Chile', 'address': {'city': 'Antofagasta', 'county': 'Provincia de Antofagasta', 'state': 'Región de Antofagasta', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-25.4019573', '-23.0584154', '-70.6286037', '-68.0670324']}",12.0,27382.0,REGIÓN DE ANTOFAGASTA,ANTOFAGASTA
12836,-26.43157,-69.47878,305.91,0.43,0.38,2022-03-02,535,N,nominal,2.0NRT,281.16,1.29,N,SUOMI,,,"-26.43157,-69.47878","Potrerillos, Diego de Almagro, Provincia de Chañaral, Región de Atacama, Chile",,,Provincia de Chañaral,Región de Atacama,Chile,cl,,Diego de Almagro,,Potrerillos,,,,,,,,,,,,,,,Diego de Almagro,3.0,32.0,3202.0,DIEGO DE ALMAGRO,"{'place_id': 282463202, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 295896, 'lat': '-26.3910794', 'lon': '-70.0459281', 'display_name': 'Diego de Almagro, Provincia de Chañaral, Región de Atacama, 1500000, Chile', 'address': {'town': 'Diego de Almagro', 'county': 'Provincia de Chañaral', 'state': 'Región de Atacama', 'postcode': '1500000', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-26.9205329', '-25.2868441', '-70.2104013', '-68.3678335']}",13.0,27390.0,REGIÓN DE ATACAMA,CHAÑARAL
12837,-26.43506,-69.47944,313.18,0.43,0.38,2022-03-02,535,N,nominal,2.0NRT,283.22,2.08,N,SUOMI,,,"-26.435059999999996,-69.47944","Bernardo O'Higgins, Potrerillos, Diego de Almagro, Provincia de Chañaral, Región de Atacama, Chile",Bernardo O'Higgins,,Provincia de Chañaral,Región de Atacama,Chile,cl,,Diego de Almagro,,Potrerillos,,,,,,,,,,,,,,,Diego de Almagro,3.0,32.0,3202.0,DIEGO DE ALMAGRO,"{'place_id': 282463202, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 295896, 'lat': '-26.3910794', 'lon': '-70.0459281', 'display_name': 'Diego de Almagro, Provincia de Chañaral, Región de Atacama, 1500000, Chile', 'address': {'town': 'Diego de Almagro', 'county': 'Provincia de Chañaral', 'state': 'Región de Atacama', 'postcode': '1500000', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-26.9205329', '-25.2868441', '-70.2104013', '-68.3678335']}",14.0,27391.0,REGIÓN DE ATACAMA,CHAÑARAL
12838,-27.35782,-70.22308000000001,303.8,0.44,0.39,2022-03-02,535,N,nominal,2.0NRT,289.05,1.08,N,SUOMI,,,"-27.35782,-70.22308000000001","Cruce Ruta 31 CH - Observatorio Los Cóndores, Copiapó, Provincia de Copiapó, Región de Atacama, Chile",Cruce Ruta 31 CH - Observatorio Los Cóndores,Copiapó,Provincia de Copiapó,Región de Atacama,Chile,cl,,,,,,,,,,,,,,,,,,,Copiapó,3.0,31.0,3101.0,COPIAPÓ,"{'place_id': 282378324, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 295922, 'lat': '-27.3664685', 'lon': '-70.3322753', 'display_name': 'Copiapó, Provincia de Copiapó, Región de Atacama, Chile', 'address': {'city': 'Copiapó', 'county': 'Provincia de Copiapó', 'state': 'Región de Atacama', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-28.183388', '-26.6643281', '-71.14235', '-68.2632053']}",15.0,27392.0,REGIÓN DE ATACAMA,COPIAPÓ
12839,-27.41988,-70.25861,313.32,0.44,0.39,2022-03-02,535,N,nominal,2.0NRT,288.99,1.3,N,SUOMI,,,"-27.41988,-70.25861","Chañarcillo, Villa Las Industrias, Paipote, Copiapó, Provincia de Copiapó, Región de Atacama, 1535590, Chile",Chañarcillo,Copiapó,Provincia de Copiapó,Región de Atacama,Chile,cl,,,,,1535590,,Villa Las Industrias,,Paipote,,,,,,,,,,Copiapó,3.0,31.0,3101.0,COPIAPÓ,"{'place_id': 282378324, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 295922, 'lat': '-27.3664685', 'lon': '-70.3322753', 'display_name': 'Copiapó, Provincia de Copiapó, Región de Atacama, Chile', 'address': {'city': 'Copiapó', 'county': 'Provincia de Copiapó', 'state': 'Región de Atacama', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-28.183388', '-26.6643281', '-71.14235', '-68.2632053']}",16.0,27393.0,REGIÓN DE ATACAMA,COPIAPÓ
12840,-28.48032,-71.25029,305.61,0.47,0.4,2022-03-02,535,N,nominal,2.0NRT,289.76,1.18,N,SUOMI,,,"-28.480320000000003,-71.25029","Villa Guacolda, Huasco, Provincia de Huasco, Región de Atacama, Chile",,,Provincia de Huasco,Región de Atacama,Chile,cl,,Huasco,,Villa Guacolda,,,,,,,,,,,,,,,Huasco,3.0,33.0,3304.0,HUASCO,"{'place_id': 282560617, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1572197, 'lat': '-28.4651248', 'lon': '-71.2207947', 'display_name': 'Huasco, Provincia de Huasco, Región de Atacama, Chile', 'address': {'town': 'Huasco', 'county': 'Provincia de Huasco', 'state': 'Región de Atacama', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-28.6178327', '-27.9628643', '-71.3155872', '-70.768942']}",17.0,27395.0,REGIÓN DE ATACAMA,HUASCO
