,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,Fuente,brightness,bright_t31,Coordenadas,Locacion,road,city,county,state,country,country_code,industrial,town,isolated_dwelling,hamlet,postcode,building,neighbourhood,region,suburb,amenity,man_made,village,office,historic,aeroway,tourism,state_district,highway,Comuna,REGION,PROVINCIA,COMUNA,ComunaUpper,raw,level_0,index,NOM_REGION,NOM_PROVINCIA
10573,-42.39085,-73.5817,,1.03,1.01,2022-02-22,351,T,100,6.1NRT,,23.33,N,MODIS,321.36,284.03,"-42.39085,-73.5817","Curaco de Vélez, Provincia de Chiloé, Región de Los Lagos, Chile",,Curaco de Vélez,Provincia de Chiloé,Región de Los Lagos,Chile,cl,,,,,,,,,,,,,,,,,,,Curaco de Vélez,10.0,102.0,10204.0,CURACO DE VÉLEZ,"{'place_id': 171953946, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 293324783, 'lat': '-42.42722720535829', 'lon': '-73.57932727998532', 'display_name': 'Caserío - Quetro, Curaco de Vélez, Provincia de Chiloé, Región de Los Lagos, Chile', 'address': {'road': 'Caserío - Quetro', 'city': 'Curaco de Vélez', 'county': 'Provincia de Chiloé', 'state': 'Región de Los Lagos', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-42.4289272', '-42.415001', '-73.5949138', '-73.5708249']}",0.0,16232.0,REGIÓN DE LOS LAGOS,CHILOÉ
10574,-40.43648,-73.34529,,1.07,1.03,2022-02-22,351,T,63,6.1NRT,,14.85,N,MODIS,310.36,281.96,"-40.436479999999996,-73.34529","Chanco - Planchón - Anchiqueumo, San Juan de la Costa, Provincia de Osorno, Región de Los Lagos, Chile",Chanco - Planchón - Anchiqueumo,San Juan de la Costa,Provincia de Osorno,Región de Los Lagos,Chile,cl,,,,,,,,,,,,,,,,,,,San Juan de la Costa,10.0,103.0,10306.0,SAN JUAN DE LA COSTA,"{'place_id': 282594984, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1791817, 'lat': '-40.49308955', 'lon': '-73.53910774780869', 'display_name': 'San Juan de la Costa, Provincia de Osorno, Región de Los Lagos, 5400000, Chile', 'address': {'city': 'San Juan de la Costa', 'county': 'Provincia de Osorno', 'state': 'Región de Los Lagos', 'postcode': '5400000', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-40.7492401', '-40.2371549', '-73.804688', '-73.3061451']}",1.0,16233.0,REGIÓN DE LOS LAGOS,OSORNO
10575,-39.15091,-73.05564,,1.13,1.06,2022-02-22,351,T,31,6.1NRT,,6.57,N,MODIS,300.61,285.71,"-39.150909999999996,-73.05564","Cruce Ruta S-70 - Villa Boldos - Colonia Caupolicán, San Roque, Villa Los Boldos, Toltén, Provincia de Cautín, Región de la Araucanía, Chile",Cruce Ruta S-70 - Villa Boldos - Colonia Caupolicán,Toltén,Provincia de Cautín,Región de la Araucanía,Chile,cl,,,,San Roque,,,,,,,,Villa Los Boldos,,,,,,,Toltén,9.0,91.0,9118.0,TOLTÉN,"{'place_id': 282620276, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1769297, 'lat': '-39.21291685', 'lon': '-73.05443069603922', 'display_name': 'Toltén, Provincia de Cautín, Región de la Araucanía, 5600000, Chile', 'address': {'city': 'Toltén', 'county': 'Provincia de Cautín', 'state': 'Región de la Araucanía', 'postcode': '5600000', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-39.4177381', '-39.0085124', '-73.2414569', '-72.8521437']}",2.0,16234.0,REGIÓN DE LA ARAUCANÍA,CAUTÍN
10576,-38.77017,-71.58999,,1.33,1.14,2022-02-22,351,T,100,6.1NRT,,60.54,N,MODIS,335.82,282.17,"-38.77017,-71.58999","Melipeuco - Laguna Galletué por China Muerta, Melipeuco, Provincia de Cautín, Región de la Araucanía, Chile",Melipeuco - Laguna Galletué por China Muerta,,Provincia de Cautín,Región de la Araucanía,Chile,cl,,Melipeuco,,,,,,,,,,,,,,,,,Melipeuco,9.0,91.0,9110.0,MELIPEUCO,"{'place_id': 66423982, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 6124543852, 'lat': '-38.8343675', 'lon': '-71.6170621', 'display_name': 'Salhuelhue, Melipeuco, Provincia de Cautín, Región de la Araucanía, Chile', 'address': {'hamlet': 'Salhuelhue', 'town': 'Melipeuco', 'county': 'Provincia de Cautín', 'state': 'Región de la Araucanía', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-38.8543675', '-38.8143675', '-71.6370621', '-71.5970621']}",3.0,16235.0,REGIÓN DE LA ARAUCANÍA,CAUTÍN
10577,-38.77277,-71.60419,,1.33,1.14,2022-02-22,351,T,100,6.1NRT,,157.96,N,MODIS,365.22,283.09,"-38.77277,-71.60419","Melipeuco - Laguna Galletué por China Muerta, Melipeuco, Provincia de Cautín, Región de la Araucanía, Chile",Melipeuco - Laguna Galletué por China Muerta,,Provincia de Cautín,Región de la Araucanía,Chile,cl,,Melipeuco,,,,,,,,,,,,,,,,,Melipeuco,9.0,91.0,9110.0,MELIPEUCO,"{'place_id': 66423982, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 6124543852, 'lat': '-38.8343675', 'lon': '-71.6170621', 'display_name': 'Salhuelhue, Melipeuco, Provincia de Cautín, Región de la Araucanía, Chile', 'address': {'hamlet': 'Salhuelhue', 'town': 'Melipeuco', 'county': 'Provincia de Cautín', 'state': 'Región de la Araucanía', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-38.8543675', '-38.8143675', '-71.6370621', '-71.5970621']}",4.0,16236.0,REGIÓN DE LA ARAUCANÍA,CAUTÍN
10578,-38.77527,-71.61783,,1.32,1.14,2022-02-22,351,T,48,6.1NRT,,11.53,N,MODIS,302.93,268.74,"-38.77527,-71.61783","Melipeuco - Laguna Galletué por China Muerta, Melipeuco, Provincia de Cautín, Región de la Araucanía, Chile",Melipeuco - Laguna Galletué por China Muerta,,Provincia de Cautín,Región de la Araucanía,Chile,cl,,Melipeuco,,,,,,,,,,,,,,,,,Melipeuco,9.0,91.0,9110.0,MELIPEUCO,"{'place_id': 66423982, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 6124543852, 'lat': '-38.8343675', 'lon': '-71.6170621', 'display_name': 'Salhuelhue, Melipeuco, Provincia de Cautín, Región de la Araucanía, Chile', 'address': {'hamlet': 'Salhuelhue', 'town': 'Melipeuco', 'county': 'Provincia de Cautín', 'state': 'Región de la Araucanía', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-38.8543675', '-38.8143675', '-71.6370621', '-71.5970621']}",5.0,16237.0,REGIÓN DE LA ARAUCANÍA,CAUTÍN
10579,-38.79828,-72.55766,,1.2,1.09,2022-02-22,351,T,50,6.1NRT,,14.17,N,MODIS,309.55,282.07,"-38.79828,-72.55766","Inglés, Padre Las Casas, Provincia de Cautín, Región de la Araucanía, 4780000, Chile",,,Provincia de Cautín,Región de la Araucanía,Chile,cl,,Padre Las Casas,,Inglés,4780000,,,,,,,,,,,,,,Padre Las Casas,9.0,91.0,9112.0,PADRE LAS CASAS,"{'place_id': 137070989, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 154477614, 'lat': '-38.8050853', 'lon': '-72.5529187', 'display_name': 'Inglés, Padre Las Casas, Provincia de Cautín, Región de la Araucanía, 4780000, Chile', 'address': {'hamlet': 'Inglés', 'town': 'Padre Las Casas', 'county': 'Provincia de Cautín', 'state': 'Región de la Araucanía', 'postcode': '4780000', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-38.8117235', '-38.8045829', '-72.5561646', '-72.5486511']}",6.0,16238.0,REGIÓN DE LA ARAUCANÍA,CAUTÍN
10580,-38.78393,-72.53388000000001,,1.2,1.09,2022-02-22,351,T,100,6.1NRT,,52.01,N,MODIS,337.0,275.38,"-38.78393,-72.53388000000001","Comunidad Lleuvul Sandoval Millahueco, Padre Las Casas, Provincia de Cautín, Región de la Araucanía, Chile",,,Provincia de Cautín,Región de la Araucanía,Chile,cl,,Padre Las Casas,,Comunidad Lleuvul Sandoval Millahueco,,,,,,,,,,,,,,,Padre Las Casas,9.0,91.0,9112.0,PADRE LAS CASAS,"{'place_id': 137070989, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 154477614, 'lat': '-38.8050853', 'lon': '-72.5529187', 'display_name': 'Inglés, Padre Las Casas, Provincia de Cautín, Región de la Araucanía, 4780000, Chile', 'address': {'hamlet': 'Inglés', 'town': 'Padre Las Casas', 'county': 'Provincia de Cautín', 'state': 'Región de la Araucanía', 'postcode': '4780000', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-38.8117235', '-38.8045829', '-72.5561646', '-72.5486511']}",7.0,16239.0,REGIÓN DE LA ARAUCANÍA,CAUTÍN
10581,-38.78623,-72.54715999999999,,1.2,1.09,2022-02-22,351,T,91,6.1NRT,,30.48,N,MODIS,324.36,279.2,"-38.786229999999996,-72.54715999999999","El Sauce - San Vicente, Comunidad Bartolo Lepín, Padre Las Casas, Provincia de Cautín, Región de la Araucanía, 4780000, Chile",El Sauce - San Vicente,,Provincia de Cautín,Región de la Araucanía,Chile,cl,,Padre Las Casas,,Comunidad Bartolo Lepín,4780000,,,,,,,,,,,,,,Padre Las Casas,9.0,91.0,9112.0,PADRE LAS CASAS,"{'place_id': 137070989, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 154477614, 'lat': '-38.8050853', 'lon': '-72.5529187', 'display_name': 'Inglés, Padre Las Casas, Provincia de Cautín, Región de la Araucanía, 4780000, Chile', 'address': {'hamlet': 'Inglés', 'town': 'Padre Las Casas', 'county': 'Provincia de Cautín', 'state': 'Región de la Araucanía', 'postcode': '4780000', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-38.8117235', '-38.8045829', '-72.5561646', '-72.5486511']}",8.0,16240.0,REGIÓN DE LA ARAUCANÍA,CAUTÍN
10582,-38.1368,-72.25708,,1.27,1.12,2022-02-22,351,T,70,6.1NRT,,13.02,N,MODIS,306.94,265.74,"-38.1368,-72.25708","Pailahueque - Fundo Callin, Palermo, Pailahueque, Ercilla, Provincia de Malleco, Región de la Araucanía, Chile",Pailahueque - Fundo Callin,,Provincia de Malleco,Región de la Araucanía,Chile,cl,,Ercilla,,Palermo,,,,,,,,Pailahueque,,,,,,,Ercilla,9.0,92.0,9204.0,ERCILLA,"{'place_id': 216703539, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 546185877, 'lat': '-38.07910962518785', 'lon': '-72.35470665949312', 'display_name': 'Ercilla, Provincia de Malleco, Región de la Araucanía, Chile', 'address': {'town': 'Ercilla', 'county': 'Provincia de Malleco', 'state': 'Región de la Araucanía', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-38.0856696', '-38.0692645', '-72.3635597', '-72.3429849']}",9.0,16241.0,REGIÓN DE LA ARAUCANÍA,MALLECO
