,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
7262,-17.48992,-71.35851,335.73,0.39,0.37,2022-03-27,603,N,nominal,2.0NRT,293.39,2.48,N
7263,-17.4933,-71.35906999999999,316.03,0.39,0.37,2022-03-27,603,N,nominal,2.0NRT,291.16,2.48,N
7264,-17.50006,-71.36012,302.2,0.39,0.37,2022-03-27,603,N,nominal,2.0NRT,290.86,1.28,N
7898,-23.78049,-70.31727,308.12,0.48,0.4,2022-03-27,605,N,nominal,2.0NRT,285.95,1.58,N
7899,-23.7842,-70.31787,310.91,0.48,0.4,2022-03-27,605,N,nominal,2.0NRT,286.66,1.58,N
7900,-23.822570000000002,-70.31444,328.79,0.48,0.4,2022-03-27,605,N,nominal,2.0NRT,287.11,4.32,N
7901,-23.82627,-70.31506999999999,331.68,0.48,0.4,2022-03-27,605,N,nominal,2.0NRT,288.08,5.59,N
7902,-23.8234,-70.31300999999999,326.56,0.48,0.4,2022-03-27,605,N,nominal,2.0NRT,287.21,4.57,N
7903,-23.822779999999998,-70.31784,305.23,0.48,0.4,2022-03-27,605,N,nominal,2.0NRT,286.12,4.43,N
7904,-27.41692,-70.25952,304.98,0.53,0.42,2022-03-27,608,N,nominal,2.0NRT,287.38,1.36,N
7905,-28.48074,-71.25066,303.76,0.49,0.4,2022-03-27,608,N,nominal,2.0NRT,288.25,1.15,N
7908,-32.8034,-70.95317,320.3,0.56,0.43,2022-03-27,608,N,nominal,2.0NRT,284.29,3.81,N
7909,-32.75943,-71.47782,326.1,0.53,0.42,2022-03-27,608,N,nominal,2.0NRT,282.4,3.81,N
7910,-32.786,-71.4881,301.91,0.53,0.42,2022-03-27,608,N,nominal,2.0NRT,280.95,0.97,N
7912,-33.14945,-70.8326,296.2,0.38,0.43,2022-03-27,608,N,nominal,2.0NRT,284.85,0.67,N
7913,-34.1057,-70.46042,337.43,0.41,0.45,2022-03-27,608,N,nominal,2.0NRT,283.75,12.2,N
7914,-34.10615,-70.45602,326.04,0.41,0.45,2022-03-27,608,N,nominal,2.0NRT,287.77,12.98,N
7915,-36.02756,-71.23836,314.89,0.39,0.44,2022-03-27,610,N,nominal,2.0NRT,282.43,1.07,N
7916,-36.74491,-73.12529,308.84,0.49,0.4,2022-03-27,610,N,nominal,2.0NRT,282.96,1.47,N
