,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
306,-23.77766,-70.32181,298.43,0.49,0.49,2022-03-08,522,N,nominal,2.0NRT,287.53,1.01,N
307,-23.78216,-70.32278000000001,296.87,0.49,0.49,2022-03-08,522,N,nominal,2.0NRT,286.6,0.56,N
308,-23.82027,-70.32005,319.87,0.49,0.49,2022-03-08,522,N,nominal,2.0NRT,288.81,4.13,N
399,-27.357909999999997,-70.22254000000001,304.08,0.42,0.45,2022-03-08,522,N,nominal,2.0NRT,289.24,0.88,N
400,-27.41651,-70.25632,303.45,0.42,0.45,2022-03-08,522,N,nominal,2.0NRT,289.07,1.72,N
419,-32.80265,-70.95232,311.78,0.55,0.43,2022-03-08,525,N,nominal,2.0NRT,287.56,2.41,N
420,-32.75865,-71.47771,339.25,0.39,0.44,2022-03-08,525,N,nominal,2.0NRT,286.62,4.24,N
421,-32.75821,-71.47563000000001,330.05,0.39,0.44,2022-03-08,525,N,nominal,2.0NRT,284.5,2.75,N
422,-32.762209999999996,-71.47679000000001,335.15,0.39,0.44,2022-03-08,525,N,nominal,2.0NRT,283.27,3.81,N
423,-32.785379999999996,-71.48776,306.85,0.39,0.44,2022-03-08,525,N,nominal,2.0NRT,284.35,0.98,N
429,-33.294259999999994,-70.72726999999999,321.3,0.52,0.42,2022-03-08,525,N,nominal,2.0NRT,290.29,3.15,N
430,-33.42003,-70.70461,307.01,0.52,0.42,2022-03-08,525,N,nominal,2.0NRT,284.97,1.24,N
434,-36.86428,-71.38042,312.61,0.49,0.4,2022-03-08,527,N,nominal,2.0NRT,277.85,3.07,N
455,-37.92811,-72.30872,297.06,0.52,0.41,2022-03-08,527,N,nominal,2.0NRT,281.8,0.41,N
1714,-35.38662,-70.19886,336.12,0.36,0.58,2022-03-08,1745,N,nominal,2.0NRT,300.61,3.18,D
1725,-32.66422,-71.24379,331.99,0.39,0.6,2022-03-08,1747,N,nominal,2.0NRT,299.06,2.34,D
4400,-30.05005,-70.68893,337.76,0.35,0.56,2022-03-08,1747,N,low,2.0NRT,311.47,2.48,D
4870,-16.65127,-70.436,327.81,0.47,0.47,2022-03-08,1751,N,nominal,2.0NRT,290.31,0.58,D
4873,-33.92601,-71.55058000000001,341.26,0.47,0.64,2022-03-08,1927,N,nominal,2.0NRT,299.77,6.23,D
4874,-33.918690000000005,-71.54722,356.85,0.47,0.64,2022-03-08,1927,N,low,2.0NRT,304.62,294.89,D
4875,-33.92015,-71.55255,367.0,0.47,0.64,2022-03-08,1927,N,low,2.0NRT,360.79,197.36,D
4876,-33.92161,-71.55785,306.26,0.47,0.64,2022-03-08,1927,N,low,2.0NRT,306.44,197.36,D
4877,-33.92496,-71.55318,208.0,0.47,0.64,2022-03-08,1927,N,low,2.0NRT,315.19,253.88,D
4878,-33.920559999999995,-71.56052,347.95,0.47,0.64,2022-03-08,1927,N,nominal,2.0NRT,302.36,69.38,D
4879,-33.919129999999996,-71.55521,367.0,0.47,0.64,2022-03-08,1927,N,low,2.0NRT,332.57,253.88,D
5384,-19.91621,-69.70430999999999,309.29,0.53,0.67,2022-03-09,501,N,nominal,2.0NRT,266.62,0.87,N
5514,-23.78209,-70.32092,297.89,0.48,0.65,2022-03-09,503,N,nominal,2.0NRT,287.81,0.98,N
5516,-23.82229,-70.31864,302.09,0.48,0.64,2022-03-09,503,N,nominal,2.0NRT,289.04,1.27,N
5530,-25.2314,-70.07941,306.02,0.43,0.62,2022-03-09,503,N,nominal,2.0NRT,282.84,0.12,N
5533,-25.754379999999998,-70.27381,302.33,0.43,0.62,2022-03-09,503,N,nominal,2.0NRT,285.91,0.12,N
5545,-26.647679999999998,-69.77776,299.21,0.39,0.59,2022-03-09,503,N,nominal,2.0NRT,283.71,0.15,N
5546,-26.53939,-70.54482,304.29,0.43,0.62,2022-03-09,503,N,nominal,2.0NRT,286.68,0.2,N
5549,-27.414890000000003,-70.26165999999999,301.82,0.4,0.6,2022-03-09,503,N,nominal,2.0NRT,288.2,1.22,N
5551,-27.41392,-70.25912,312.27,0.39,0.6,2022-03-09,503,N,nominal,2.0NRT,288.72,1.17,N
5557,-28.346559999999997,-70.48026,310.02,0.39,0.59,2022-03-09,503,N,nominal,2.0NRT,287.51,0.08,N
5559,-28.478270000000002,-71.24876,301.63,0.43,0.62,2022-03-09,503,N,nominal,2.0NRT,288.16,0.54,N
5560,-28.478309999999997,-71.25023,302.71,0.43,0.62,2022-03-09,503,N,nominal,2.0NRT,287.56,0.89,N
5565,-29.606379999999998,-71.2525,308.52,0.4,0.6,2022-03-09,503,N,nominal,2.0NRT,285.61,0.1,N
5568,-30.320290000000004,-69.74041,297.15,0.32,0.55,2022-03-09,503,N,nominal,2.0NRT,272.63,0.51,N
5578,-31.602209999999996,-71.10419,319.65,0.35,0.57,2022-03-09,505,N,nominal,2.0NRT,283.61,0.08,N
5588,-32.80191,-70.95449,322.93,0.33,0.55,2022-03-09,505,N,nominal,2.0NRT,287.5,2.57,N
5589,-32.80279,-70.95085999999999,299.62,0.33,0.55,2022-03-09,505,N,nominal,2.0NRT,285.31,1.41,N
5590,-32.78753,-71.48732,295.1,0.35,0.57,2022-03-09,505,N,nominal,2.0NRT,282.06,0.6,N
5593,-33.2923,-70.72785999999999,309.2,0.62,0.54,2022-03-09,505,N,nominal,2.0NRT,286.0,2.18,N
5594,-33.59617,-70.66837,299.45,0.6,0.53,2022-03-09,505,N,nominal,2.0NRT,282.99,1.22,N
5595,-33.55904,-70.84317,312.28,0.62,0.54,2022-03-09,505,N,nominal,2.0NRT,283.86,2.34,N
5596,-33.70917,-71.44745999999999,302.93,0.33,0.55,2022-03-09,505,N,nominal,2.0NRT,282.86,0.13,N
5597,-33.91708,-71.54018,320.42,0.33,0.55,2022-03-09,505,N,nominal,2.0NRT,286.35,0.9,N
5598,-33.91961,-71.55225,299.78,0.33,0.55,2022-03-09,505,N,nominal,2.0NRT,285.78,0.69,N
5599,-33.92046,-71.54876999999999,296.84,0.33,0.55,2022-03-09,505,N,nominal,2.0NRT,285.2,0.69,N
5600,-33.9213,-71.54529000000001,301.46,0.33,0.55,2022-03-09,505,N,nominal,2.0NRT,285.38,0.9,N
5601,-33.92215,-71.54181,297.5,0.33,0.55,2022-03-09,505,N,nominal,2.0NRT,285.24,0.9,N
5602,-33.91708,-71.54253,307.49,0.33,0.55,2022-03-09,505,N,nominal,2.0NRT,285.95,0.86,N
5603,-33.91794,-71.53911,312.27,0.33,0.55,2022-03-09,505,N,nominal,2.0NRT,285.97,0.86,N
5604,-33.919540000000005,-71.55459,297.87,0.33,0.55,2022-03-09,505,N,nominal,2.0NRT,285.42,0.95,N
5605,-33.92041,-71.5511,297.98,0.33,0.55,2022-03-09,505,N,nominal,2.0NRT,285.65,0.79,N
5606,-33.921279999999996,-71.54762,296.54,0.33,0.55,2022-03-09,505,N,nominal,2.0NRT,285.52,0.79,N
5607,-33.92215,-71.54415,301.32,0.33,0.55,2022-03-09,505,N,nominal,2.0NRT,285.28,0.86,N
5609,-34.82135,-71.29715,311.58,0.61,0.54,2022-03-09,505,N,nominal,2.0NRT,281.68,1.67,N
5613,-35.17051,-71.09276,352.61,0.59,0.53,2022-03-09,505,N,nominal,2.0NRT,290.77,27.1,N
5614,-35.175090000000004,-71.09525,340.4,0.59,0.53,2022-03-09,505,N,nominal,2.0NRT,283.88,10.34,N
5616,-35.30048,-72.20094,304.4,0.33,0.55,2022-03-09,505,N,nominal,2.0NRT,280.77,0.09,N
5790,-19.852829999999997,-69.58335,296.38,0.61,0.71,2022-03-09,641,N,nominal,2.0NRT,272.37,0.21,N
5791,-22.35547,-69.99549,299.25,0.61,0.71,2022-03-09,644,N,nominal,2.0NRT,282.31,0.33,N
5792,-23.78211,-70.31768000000001,298.36,0.6,0.7,2022-03-09,644,N,nominal,2.0NRT,286.8,1.31,N
5793,-23.82226,-70.31644,298.51,0.6,0.7,2022-03-09,644,N,nominal,2.0NRT,287.4,1.33,N
5794,-23.82537,-70.31944,303.07,0.6,0.7,2022-03-09,644,N,nominal,2.0NRT,287.64,1.6,N
5797,-31.062009999999997,-71.02403000000001,298.46,0.62,0.71,2022-03-09,646,N,nominal,2.0NRT,286.84,0.4,N
5798,-31.02934,-71.02458,315.34,0.62,0.72,2022-03-09,646,N,nominal,2.0NRT,286.21,0.38,N
5799,-32.75895,-71.48246999999999,337.13,0.6,0.71,2022-03-09,646,N,nominal,2.0NRT,284.01,7.2,N
5800,-32.75923,-71.47577,338.3,0.6,0.71,2022-03-09,646,N,nominal,2.0NRT,280.29,7.2,N
5801,-32.80044,-70.95634,298.13,0.64,0.72,2022-03-09,646,N,nominal,2.0NRT,283.4,0.91,N
5802,-32.76229,-71.48161,349.44,0.6,0.71,2022-03-09,646,N,nominal,2.0NRT,283.96,12.52,N
5803,-32.76253,-71.47487,320.74,0.6,0.71,2022-03-09,646,N,nominal,2.0NRT,280.46,6.75,N
5804,-32.80087,-70.95482,302.68,0.64,0.72,2022-03-09,646,N,nominal,2.0NRT,283.56,1.7,N
5805,-33.560759999999995,-70.84387,298.7,0.66,0.73,2022-03-09,646,N,nominal,2.0NRT,282.61,0.86,N
5806,-35.17329,-71.10112,320.37,0.65,0.73,2022-03-09,646,N,nominal,2.0NRT,281.95,17.96,N
5807,-35.1735,-71.09388,356.52,0.65,0.73,2022-03-09,646,N,nominal,2.0NRT,288.04,17.96,N
5808,-35.17222,-71.10209,296.96,0.65,0.73,2022-03-09,646,N,nominal,2.0NRT,281.75,18.3,N
6292,-38.343759999999996,-72.66053000000001,298.72,0.56,0.69,2022-03-09,648,N,nominal,2.0NRT,276.46,0.87,N
