,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
60,-32.75744,-71.47063,327.53,1.0,1.0,2022-04-30,603,A,100,6.1NRT,278.84,30.24,N
241,-16.543670000000002,-72.7056,321.59,1.58,1.24,2022-04-30,1520,T,64,6.1NRT,298.34,20.06,D
560,-34.1037,-70.45741,315.1,1.02,1.01,2022-05-01,328,T,91,6.1NRT,277.45,18.32,N
561,-32.80556,-70.95176,317.96,1.01,1.01,2022-05-01,330,T,96,6.1NRT,282.23,19.91,N
724,-34.107040000000005,-70.46001,320.13,1.13,1.06,2022-05-01,1429,T,80,6.1NRT,287.98,21.3,D
725,-34.10911,-70.44766,309.24,1.13,1.06,2022-05-01,1429,T,68,6.1NRT,288.17,10.52,D
752,-36.096759999999996,-72.05573000000001,304.97,1.24,1.11,2022-05-01,1429,T,60,6.1NRT,286.33,10.11,D
758,-35.20299,-71.82143,303.11,1.0,1.0,2022-05-01,1849,A,54,6.1NRT,290.35,4.49,D
759,-34.87466,-70.64484,330.6,1.05,1.02,2022-05-01,1849,A,87,6.1NRT,292.81,33.29,D
760,-35.051359999999995,-71.79222,303.09,1.0,1.0,2022-05-01,1849,A,48,6.1NRT,293.08,4.07,D
761,-32.80916,-70.95599,309.21,1.07,1.03,2022-05-01,1849,A,66,6.1NRT,297.43,6.73,D
787,-35.679840000000006,-71.43683,303.24,1.01,1.0,2022-05-01,1849,A,55,6.1NRT,288.67,5.67,D
